provider,plan_name,region,country,data_gb,validity_days,price,product_url,direction,voice_type,calls_included,sms_included,number_country,full_speed_gb,full_speed_period,post_cap_speed,hotspot,source_url,timestamp
Airalo,Unlimited 3 Days,Asia,Japan,unlimited,3,9.00,https://www.airalo.com/japan-esim,outbound,external_voip,,,,3,per_day,1Mbps,yes,https://www.airalo.com/japan-esim?currency=GBP,2026-09-04T00:00:00Z
Airalo,Unlimited 7 Days,Asia,Japan,unlimited,7,20.50,https://www.airalo.com/japan-esim,outbound,external_voip,,,,3,per_day,1Mbps,yes,https://www.airalo.com/japan-esim?currency=GBP,2026-09-04T00:00:00Z
Airalo,Unlimited 10 Days,Asia,Japan,unlimited,10,26.50,https://www.airalo.com/japan-esim,outbound,external_voip,,,,3,per_day,1Mbps,yes,https://www.airalo.com/japan-esim?currency=GBP,2026-09-04T00:00:00Z
Airalo,Unlimited 15 Days,Asia,Japan,unlimited,15,36.50,https://www.airalo.com/japan-esim,outbound,external_voip,,,,3,per_day,1Mbps,yes,https://www.airalo.com/japan-esim?currency=GBP,2026-09-04T00:00:00Z
Airalo,Unlimited 30 Days,Asia,Japan,unlimited,30,52.50,https://www.airalo.com/japan-esim,outbound,external_voip,,,,3,per_day,1Mbps,yes,https://www.airalo.com/japan-esim?currency=GBP,2026-09-04T00:00:00Z
Airalo,Unlimited 3 Days,Europe,Multi,unlimited,3,9.00,https://www.airalo.com/europe-esim,outbound,external_voip,,,,3,per_day,1Mbps,yes,https://www.airalo.com/europe-esim?currency=GBP,2026-09-04T00:00:00Z
Airalo,Unlimited 7 Days,Europe,Multi,unlimited,7,20.50,https://www.airalo.com/europe-esim,outbound,external_voip,,,,3,per_day,1Mbps,yes,https://www.airalo.com/europe-esim?currency=GBP,2026-09-04T00:00:00Z
Airalo,Unlimited 10 Days,Europe,Multi,unlimited,10,27.00,https://www.airalo.com/europe-esim,outbound,external_voip,,,,3,per_day,1Mbps,yes,https://www.airalo.com/europe-esim?currency=GBP,2026-09-04T00:00:00Z
Airalo,Unlimited 15 Days,Europe,Multi,unlimited,15,37.50,https://www.airalo.com/europe-esim,outbound,external_voip,,,,3,per_day,1Mbps,yes,https://www.airalo.com/europe-esim?currency=GBP,2026-09-04T00:00:00Z
Airalo,Unlimited 30 Days,Europe,Multi,unlimited,30,54.00,https://www.airalo.com/europe-esim,outbound,external_voip,,,,3,per_day,1Mbps,yes,https://www.airalo.com/europe-esim?currency=GBP,2026-09-04T00:00:00Z
Airalo,Unlimited 3 Days,North America,United States,unlimited,3,9.00,https://www.airalo.com/united-states-esim,outbound,external_voip,,,,3,per_day,1Mbps,yes,https://www.airalo.com/united-states-esim?currency=GBP,2026-09-04T00:00:00Z
Airalo,Unlimited 7 Days,North America,United States,unlimited,7,19.00,https://www.airalo.com/united-states-esim,outbound,external_voip,,,,3,per_day,1Mbps,yes,https://www.airalo.com/united-states-esim?currency=GBP,2026-09-04T00:00:00Z
Airalo,Unlimited 10 Days,North America,United States,unlimited,10,26.00,https://www.airalo.com/united-states-esim,outbound,external_voip,,,,3,per_day,1Mbps,yes,https://www.airalo.com/united-states-esim?currency=GBP,2026-09-04T00:00:00Z
Airalo,Unlimited 15 Days,North America,United States,unlimited,15,35.00,https://www.airalo.com/united-states-esim,outbound,external_voip,,,,3,per_day,1Mbps,yes,https://www.airalo.com/united-states-esim?currency=GBP,2026-09-04T00:00:00Z
Airalo,Unlimited 30 Days,North America,United States,unlimited,30,52.00,https://www.airalo.com/united-states-esim,outbound,external_voip,,,,3,per_day,1Mbps,yes,https://www.airalo.com/united-states-esim?currency=GBP,2026-09-04T00:00:00Z
Airalo,Unlimited 3 Days,Asia,Thailand,unlimited,3,7.50,https://www.airalo.com/thailand-esim,outbound,external_voip,,,,3,per_day,1Mbps,yes,https://www.airalo.com/thailand-esim?currency=GBP,2026-09-04T00:00:00Z
Airalo,Unlimited 7 Days,Asia,Thailand,unlimited,7,16.00,https://www.airalo.com/thailand-esim,outbound,external_voip,,,,3,per_day,1Mbps,yes,https://www.airalo.com/thailand-esim?currency=GBP,2026-09-04T00:00:00Z
Airalo,Unlimited 10 Days,Asia,Thailand,unlimited,10,23.50,https://www.airalo.com/thailand-esim,outbound,external_voip,,,,3,per_day,1Mbps,yes,https://www.airalo.com/thailand-esim?currency=GBP,2026-09-04T00:00:00Z
Airalo,Unlimited 15 Days,Asia,Thailand,unlimited,15,30.00,https://www.airalo.com/thailand-esim,outbound,external_voip,,,,3,per_day,1Mbps,yes,https://www.airalo.com/thailand-esim?currency=GBP,2026-09-04T00:00:00Z
Airalo,Unlimited 30 Days,Asia,Thailand,unlimited,30,37.50,https://www.airalo.com/thailand-esim,outbound,external_voip,,,,3,per_day,1Mbps,yes,https://www.airalo.com/thailand-esim?currency=GBP,2026-09-04T00:00:00Z
Airalo,Discover Global Unlimited 3 Days,Global,Multi,unlimited,3,18.50,https://www.airalo.com/discover-esim,outbound,external_voip,,,,3,per_day,1Mbps,yes,https://www.airalo.com/discover-esim?currency=GBP,2026-09-04T00:00:00Z
Airalo,Discover Global Unlimited 7 Days,Global,Multi,unlimited,7,34.50,https://www.airalo.com/discover-esim,outbound,external_voip,,,,3,per_day,1Mbps,yes,https://www.airalo.com/discover-esim?currency=GBP,2026-09-04T00:00:00Z
Airalo,Discover Global Unlimited 10 Days,Global,Multi,unlimited,10,48.50,https://www.airalo.com/discover-esim,outbound,external_voip,,,,3,per_day,1Mbps,yes,https://www.airalo.com/discover-esim?currency=GBP,2026-09-04T00:00:00Z
Airalo,Discover Global Unlimited 15 Days,Global,Multi,unlimited,15,73.00,https://www.airalo.com/discover-esim,outbound,external_voip,,,,3,per_day,1Mbps,yes,https://www.airalo.com/discover-esim?currency=GBP,2026-09-04T00:00:00Z
Airalo,Discover Global Unlimited 30 Days,Global,Multi,unlimited,30,120.50,https://www.airalo.com/discover-esim,outbound,external_voip,,,,3,per_day,1Mbps,yes,https://www.airalo.com/discover-esim?currency=GBP,2026-09-04T00:00:00Z
