provider,plan_name,region,country,data_gb,validity_days,price,product_url,direction,voice_type,calls_included,sms_included,number_country,full_speed_gb,full_speed_period,post_cap_speed,hotspot,source_url,timestamp
Three UK,Pay As You Go 40GB,Europe,UK,40,30,10,https://www.three.co.uk/pay-as-you-go,outbound,native,unlimited,unlimited,UK,,,,,https://www.three.co.uk/pay-as-you-go,2026-09-04T00:00:00Z
Three UK,Pay As You Go 100GB,Europe,UK,100,30,15,https://www.three.co.uk/pay-as-you-go,outbound,native,unlimited,unlimited,UK,,,,,https://www.three.co.uk/pay-as-you-go,2026-09-04T00:00:00Z
Three UK,Pay As You Go 200GB,Europe,UK,200,30,20,https://www.three.co.uk/pay-as-you-go,outbound,native,unlimited,unlimited,UK,,,,,https://www.three.co.uk/pay-as-you-go,2026-09-04T00:00:00Z
Three UK,Pay As You Go Unlimited,Europe,UK,unlimited,30,35,https://www.three.co.uk/pay-as-you-go,outbound,native,unlimited,unlimited,UK,,,,,https://www.three.co.uk/pay-as-you-go,2026-09-04T00:00:00Z
SMARTY,5GB Rolling Monthly,Europe,UK,5,30,6,https://smarty.co.uk/all-plans,outbound,native,unlimited,unlimited,UK,,,,,https://smarty.co.uk/all-plans,2026-09-04T00:00:00Z
SMARTY,16GB Rolling Monthly,Europe,UK,16,30,8,https://smarty.co.uk/all-plans,outbound,native,unlimited,unlimited,UK,,,,,https://smarty.co.uk/all-plans,2026-09-04T00:00:00Z
SMARTY,20GB Rolling Monthly,Europe,UK,20,30,9,https://smarty.co.uk/all-plans,outbound,native,unlimited,unlimited,UK,,,,,https://smarty.co.uk/all-plans,2026-09-04T00:00:00Z
SMARTY,40GB Rolling Monthly,Europe,UK,40,30,10,https://smarty.co.uk/all-plans,outbound,native,unlimited,unlimited,UK,,,,,https://smarty.co.uk/all-plans,2026-09-04T00:00:00Z
SMARTY,100GB Rolling Monthly,Europe,UK,100,30,12,https://smarty.co.uk/all-plans,outbound,native,unlimited,unlimited,UK,,,,,https://smarty.co.uk/all-plans,2026-09-04T00:00:00Z
SMARTY,150GB Rolling Monthly,Europe,UK,150,30,15,https://smarty.co.uk/all-plans,outbound,native,unlimited,unlimited,UK,,,,,https://smarty.co.uk/all-plans,2026-09-04T00:00:00Z
SMARTY,200GB Rolling Monthly,Europe,UK,200,30,17,https://smarty.co.uk/all-plans,outbound,native,unlimited,unlimited,UK,,,,,https://smarty.co.uk/all-plans,2026-09-04T00:00:00Z
SMARTY,Unlimited Rolling Monthly,Europe,UK,unlimited,30,20,https://smarty.co.uk/plans/unlimited,outbound,native,unlimited,unlimited,UK,,,,yes,https://smarty.co.uk/plans/unlimited,2026-09-04T00:00:00Z
Honest Mobile,Classic SIM 4GB,Europe,UK,4,30,12.15,https://honestmobile.com/plans,outbound,native,unlimited,unlimited,UK,,,,,https://honestmobile.com/plans,2026-09-04T00:00:00Z
Honest Mobile,Classic SIM 10GB,Europe,UK,10,30,17.50,https://honestmobile.com/plans,outbound,native,unlimited,unlimited,UK,,,,,https://honestmobile.com/plans,2026-09-04T00:00:00Z
Honest Mobile,Classic SIM Unlimited,Europe,UK,unlimited,30,25,https://honestmobile.com/plans,outbound,native,unlimited,unlimited,UK,750,per_plan,3G speeds,,https://honestmobile.com/plans,2026-09-04T00:00:00Z
O2,Big Bundle 10GB,Europe,UK,10,30,10,https://www.o2.co.uk/shop/sim-cards/pay-as-you-go,inbound,native,unlimited,unlimited,UK,,,,,https://www.o2.co.uk/shop/sim-cards/pay-as-you-go,2026-09-04T00:00:00Z
O2,Big Bundle 30GB,Europe,UK,30,30,15,https://www.o2.co.uk/shop/sim-cards/pay-as-you-go,inbound,native,unlimited,unlimited,UK,,,,,https://www.o2.co.uk/shop/sim-cards/pay-as-you-go,2026-09-04T00:00:00Z
